age,annual_income,total_debt,monthly_expenses,num_credit_lines,num_late_payments,credit_history_years,num_bankruptcies,loan_amount_requested,employment_years,savings_balance,debt_to_income_ratio,expense_to_income_ratio,creditworthy
50,12000.0,8889.99,755.18,7,0,19,0,1000.0,6,17276.26,0.7408,0.7551,0
31,91841.01,47313.1,1250.89,13,2,11,0,8347.19,34,508.07,0.5152,0.1634,1
48,47543.3,24925.92,2231.33,9,1,3,0,37493.94,19,11707.79,0.5243,0.5632,0
45,38362.17,924.19,3444.27,7,3,25,0,4726.69,13,3690.45,0.0241,1.0774,1
59,65208.88,0.0,2695.27,7,1,11,0,6031.36,29,3171.29,0.0,0.496,1
53,62679.01,9419.17,2473.95,7,0,21,0,1000.0,0,9008.26,0.1503,0.4736,1
21,89917.27,29302.42,1936.11,11,2,0,0,1000.0,24,6211.93,0.3259,0.2584,1
47,66796.83,15584.87,933.98,14,1,29,0,33313.63,33,673.82,0.2333,0.1678,1
33,88952.77,0.0,2411.99,7,3,0,0,1777.23,7,12897.31,0.0,0.3254,0
61,36545.57,12872.48,3620.77,5,2,2,0,18023.86,19,14936.72,0.3522,1.1889,0
23,63546.53,14971.18,1807.95,8,1,20,0,14670.65,29,2249.46,0.2356,0.3414,1
59,32131.31,0.0,1551.46,2,4,11,0,34349.26,3,8340.58,0.0,0.5794,0
26,62441.9,15289.99,1811.81,5,0,21,0,7455.6,20,8494.92,0.2449,0.3482,1
28,57142.8,2839.58,2479.8,4,0,20,0,13535.97,26,8640.36,0.0497,0.5207,1
47,56067.56,0.0,2089.38,14,0,12,0,3613.65,9,9489.57,0.0,0.4472,1
29,56286.81,34254.09,2728.01,14,3,28,0,10396.47,22,12597.28,0.6086,0.5816,1
57,78409.74,2308.77,1973.24,7,2,12,0,6479.55,32,20510.56,0.0294,0.302,1
53,19816.01,6992.58,1807.19,3,1,20,0,17829.36,10,11171.47,0.3529,1.0943,0
62,37505.3,6833.01,2183.2,3,3,8,0,44012.91,18,5409.58,0.1822,0.6985,0
64,58985.7,15026.87,1568.28,12,0,17,0,16947.14,10,9891.68,0.2548,0.319,0
44,30533.42,36195.73,3392.61,14,2,27,0,37621.1,3,432.56,1.1854,1.3333,0
35,61152.85,645.76,2658.49,9,2,27,0,34175.13,22,1925.47,0.0106,0.5217,1
52,58728.69,11318.36,1120.24,10,0,0,0,19360.94,4,13891.77,0.1927,0.2289,0
52,24906.08,16450.34,1403.39,9,2,5,0,34423.1,4,0.0,0.6605,0.6761,0
44,23670.87,4574.5,2452.27,12,1,24,0,23460.08,17,8049.17,0.1932,1.2431,1
61,12000.0,11125.36,2146.65,4,0,22,0,1000.0,16,18352.46,0.927,2.1465,1
32,29483.25,22134.0,2242.01,10,2,23,0,19416.78,2,13635.93,0.7507,0.9125,0
59,60358.08,5931.54,1846.3,12,0,4,0,23089.31,7,17744.98,0.0983,0.3671,0
22,63904.7,10936.29,2364.14,12,3,25,0,46444.53,22,13023.22,0.1711,0.4439,0
23,65047.49,9823.75,1865.12,14,2,3,1,6025.11,22,27928.61,0.151,0.3441,0
57,40552.03,13754.32,2450.7,5,1,5,0,26867.38,1,0.0,0.3392,0.7252,0
37,59542.41,17917.82,2618.42,14,1,2,0,1538.1,20,11040.25,0.3009,0.5277,1
22,69931.12,22038.73,3285.39,10,1,16,1,43143.74,23,16547.02,0.3151,0.5638,1
22,28299.11,38250.65,1588.24,3,2,10,0,38355.65,19,6202.78,1.3516,0.6735,0
48,63083.23,0.0,1991.11,1,3,3,0,2016.15,26,20608.31,0.0,0.3788,1
43,76412.03,12991.3,1024.81,11,0,24,0,46117.24,6,15441.13,0.17,0.1609,1
57,47730.7,0.0,3461.01,11,0,19,0,36156.34,32,0.0,0.0,0.8701,1
52,86555.86,10375.56,419.61,13,1,0,0,38978.09,28,13259.14,0.1199,0.0582,0
53,48314.14,25570.41,3346.3,1,1,29,0,43548.4,9,15473.31,0.5292,0.8311,1
21,38498.48,29373.51,2074.78,11,1,3,1,36892.53,9,24693.75,0.763,0.6467,0
39,73921.03,29936.57,2334.74,2,0,22,0,14955.73,11,8385.27,0.405,0.379,1
22,110832.34,29823.51,1867.46,1,0,2,0,42534.79,2,15030.56,0.2691,0.2022,1
64,62133.84,12912.78,2024.88,0,2,9,0,6601.21,2,12318.86,0.2078,0.3911,1
46,75872.7,31782.36,2470.47,13,1,21,0,8369.32,12,4940.08,0.4189,0.3907,1
52,47282.07,34162.2,690.68,7,0,29,0,13169.84,30,6857.32,0.7225,0.1753,1
26,28959.59,16665.61,1478.3,11,0,0,0,25003.77,26,0.0,0.5755,0.6125,0
52,64156.64,29126.84,1323.95,4,2,26,0,6232.2,5,5745.33,0.454,0.2476,1
24,68110.0,15494.84,2357.92,9,2,3,0,2033.53,26,24140.2,0.2275,0.4154,1
31,51052.22,31922.79,2003.49,0,2,18,0,6259.02,34,8447.52,0.6253,0.4709,1
37,75776.41,13060.04,2494.48,12,3,29,0,14552.36,8,17600.98,0.1723,0.395,1
58,43648.0,7685.75,2131.82,8,1,0,0,21057.29,5,12050.38,0.1761,0.5861,0
44,37447.84,1560.1,2846.87,7,1,15,0,8581.83,5,13819.94,0.0417,0.9122,0
25,86516.07,12916.45,1407.78,3,3,18,0,1827.6,25,27949.03,0.1493,0.1953,1
54,86633.69,16012.66,2046.52,7,1,19,1,25847.19,18,6323.41,0.1848,0.2835,0
26,44141.42,3649.77,2887.49,12,2,20,0,47074.8,15,6261.1,0.0827,0.785,0
42,102971.26,11998.7,2727.46,11,1,21,0,13780.2,22,19785.72,0.1165,0.3178,1
31,52822.33,8681.41,816.28,12,1,17,0,33379.23,10,9275.41,0.1643,0.1854,1
36,62119.57,2076.29,1183.11,9,1,1,0,20031.58,15,7546.62,0.0334,0.2285,0
53,57883.69,27430.62,1934.57,6,1,5,0,29559.84,28,18583.8,0.4739,0.4011,0
29,73094.01,29542.84,1812.13,10,2,20,0,32229.62,19,12327.02,0.4042,0.2975,1
26,66785.54,27377.19,1947.66,14,1,0,0,20072.9,20,8638.62,0.4099,0.3499,0
36,66449.05,13990.13,2636.95,10,1,18,0,5250.71,27,6924.78,0.2105,0.4762,1
49,34510.96,14731.41,2231.51,6,2,26,0,1544.55,32,2412.37,0.4268,0.7759,1
23,17785.94,2241.92,2278.15,0,0,4,0,37251.88,25,0.0,0.126,1.537,0
40,88554.0,19975.59,2536.49,5,1,28,0,29458.34,9,20003.41,0.2256,0.3437,1
56,46363.85,17035.58,2859.34,12,2,27,0,34695.44,33,6182.09,0.3674,0.74,0
39,58774.17,49127.37,300.0,3,0,27,0,30144.7,8,0.0,0.8359,0.0613,1
46,68169.97,28045.23,1690.7,13,0,1,0,36082.79,10,26049.44,0.4114,0.2976,1
23,100725.24,18782.94,1293.63,9,2,0,0,23329.3,9,10780.05,0.1865,0.1541,0
39,64033.95,14500.69,2380.25,9,1,15,0,1000.0,6,10201.17,0.2264,0.4461,1
40,50130.06,27015.68,1630.32,9,2,24,0,24219.17,15,0.0,0.5389,0.3903,1
52,46911.39,4011.14,2060.69,10,2,20,0,46898.63,25,15229.67,0.0855,0.5271,1
27,59066.08,28675.65,2681.71,11,1,1,0,25267.58,31,5220.02,0.4855,0.5448,0
61,37265.88,1954.28,1517.61,1,2,25,0,1557.08,30,5240.41,0.0524,0.4887,1
53,60721.89,8261.71,2290.25,9,2,3,1,31021.65,31,13724.29,0.1361,0.4526,0
60,58699.51,0.0,3243.06,6,1,2,0,52516.84,11,11086.7,0.0,0.663,0
59,101038.17,22368.91,2665.29,8,0,22,0,11625.93,26,1250.82,0.2214,0.3165,1
38,57909.97,17999.15,731.38,12,1,16,0,24890.32,21,0.0,0.3108,0.1516,0
60,12000.0,8262.2,1766.6,4,0,14,0,27130.39,14,11488.21,0.6885,1.7665,0
21,126837.77,3850.33,2284.65,7,1,9,0,23054.18,7,10707.35,0.0304,0.2161,1
31,83920.84,31544.67,2442.23,4,2,11,0,31965.64,3,33454.22,0.3759,0.3492,1
48,112058.72,13396.75,1798.12,13,0,11,0,13922.38,7,0.0,0.1196,0.1926,0
45,31067.0,5792.46,1488.17,6,0,19,0,29401.67,22,11325.08,0.1864,0.5748,1
43,54454.33,38063.2,2054.21,6,2,6,0,37511.74,15,0.0,0.699,0.4527,0
51,76860.03,7115.24,1130.49,8,0,26,1,16462.98,33,6267.2,0.0926,0.1765,1
50,73409.78,28663.4,2879.79,2,1,9,0,32083.39,21,6151.15,0.3905,0.4707,1
62,67673.44,1188.11,3494.94,13,2,28,0,14322.05,22,14878.03,0.0176,0.6197,1
55,12000.0,10740.65,2315.76,0,1,4,0,1000.0,4,15129.72,0.895,2.3156,0
27,17189.01,21027.49,1814.05,1,2,19,0,1000.0,6,22283.18,1.2232,1.2664,1
36,97938.0,14305.96,2752.72,11,3,19,0,26917.91,25,12219.05,0.1461,0.3373,1
46,102383.24,17925.16,2617.54,5,1,10,0,1000.0,27,18867.09,0.1751,0.3068,1
22,57333.72,8533.98,1779.57,13,2,27,0,21390.74,3,22381.2,0.1488,0.3725,1
21,94760.69,0.0,1961.73,9,0,29,0,8139.55,31,12322.4,0.0,0.2484,1
32,34419.31,32586.92,1512.37,9,2,1,0,1000.0,8,20570.57,0.9467,0.5273,1
25,40139.35,9266.06,2131.75,11,0,23,0,30236.78,25,11917.09,0.2308,0.6373,1
57,32442.99,18468.15,2239.13,12,1,15,0,1000.0,10,9937.6,0.5692,0.8282,1
52,38752.01,23423.49,1375.89,13,3,11,0,54629.48,19,4201.42,0.6044,0.4261,0
29,78067.4,18705.1,1140.26,8,3,15,1,44557.84,14,13438.39,0.2396,0.1753,0
61,38441.19,6496.9,939.19,2,2,3,0,19003.11,34,13086.29,0.169,0.2932,1
55,115993.58,28917.18,2333.23,9,1,1,1,1000.0,8,13206.36,0.2493,0.2414,1
39,71501.77,21164.15,1990.81,1,1,24,0,24437.58,32,20261.44,0.296,0.3341,1
36,87113.18,17385.28,1933.14,10,1,29,0,47518.01,10,18164.1,0.1996,0.2663,1
23,72248.51,17107.02,2371.62,0,1,29,0,35925.02,21,0.0,0.2368,0.3939,1
40,90356.74,35187.15,1279.23,1,2,28,0,36875.7,5,0.0,0.3894,0.1699,1
44,38300.0,6239.25,1143.8,2,0,27,0,43152.7,20,11110.69,0.1629,0.3584,1
53,96173.34,19983.07,2192.87,6,2,9,0,1197.76,11,1214.03,0.2078,0.2736,1
44,63523.47,8656.45,617.06,1,1,12,0,36296.91,6,9137.45,0.1363,0.1166,0
31,90231.65,0.0,1792.81,12,2,22,0,49115.29,1,1798.35,0.0,0.2384,0
28,24010.9,0.0,3973.16,4,0,18,1,10703.8,23,10868.95,0.0,1.9856,0
56,64514.58,2824.36,921.17,1,1,14,0,13969.02,25,831.62,0.0438,0.1713,1
58,63630.97,7098.68,1656.21,6,2,22,0,43295.39,24,13616.23,0.1116,0.3123,1
60,44519.09,41075.4,301.69,9,2,0,0,40920.65,19,371.69,0.9226,0.0813,0
40,67827.97,23380.66,1813.02,7,2,27,0,6949.74,1,11222.39,0.3447,0.3208,1
55,98490.17,24460.12,3573.23,7,4,16,0,1000.0,34,0.0,0.2483,0.4354,1
45,42596.19,7355.06,2373.53,12,2,19,0,18286.45,32,0.0,0.1727,0.6686,1
55,84046.36,15735.93,1508.98,14,0,3,0,1000.0,16,16352.3,0.1872,0.2154,1
45,31814.42,42673.84,3745.13,7,1,19,0,7115.53,21,21538.53,1.3413,1.4126,0
49,112736.11,426.99,606.12,9,2,8,0,9751.52,0,18202.51,0.0038,0.0645,1
38,79615.01,20474.87,2363.15,14,0,5,0,36854.43,29,16820.51,0.2572,0.3562,1
38,103127.93,34335.55,2051.93,8,0,2,0,40919.01,5,23334.31,0.3329,0.2388,1
22,76801.51,26591.32,1802.38,0,2,21,0,36921.13,13,18690.35,0.3462,0.2816,1
55,69765.33,36618.48,2645.67,11,0,1,0,7641.02,32,0.0,0.5249,0.4551,0
